,preproc,rating
0,stretch past  minut mark for ad revenu se,0
1,big time scam,0
2,id recycl his face,0
3,god dang are a twat,0
4,whi not give it away to one of  fan that recogn you,0
5,im trash but your trash and stupid im unsubscrib,0
6,are crazi man k,0
7,physicali hate,0
8,first video se of and alreadi fake god job,0
9,that so mese up,0
10,fuckin hate rich peopl,0
11,it a scam,0
12,stupid moron  buck bo,0
13,honesti think he put fake one in,0
14,that coment by portman was reali stupid,0
15,femin a fuck joke liber shit went overboard,0
16,just like blm movement when they bitch about no black pl be nomin give it a few month none wil care,0
17,can they just fire guy alreadi he suck,0
18,it me or doe he get wors everi night,0
19,coment so funi laugh,1
20,pleas dislik video thank you,0
21,fire niga hire chris smove smh,0
22,gros,0
23,im hela late but god job mat,1
24,definit not deserv dislik on that level,1
25,made me cring out of my skin,0
26,to be honest first guy was actuali decent but mat and other guy are just a bit cringey,0
27,mathew lok great,1
28,sound like a distrack to literali everi singl view hungri youtub in exist and love it with a pasion,1
29,love it,1
30,dope song,1
31,reali man thought were col but now your be like everyon els,0
32,first rap ive heard with real and meaning lyric,1
33,mat se what your do and new direct col but mayb should start up a side chanel for your music and stuf,0
34,what go on santoro your chanel done what to expect from you fel beter man,0
35,so much hate music video got,1
36,pleas not tri to rap with those hors teth ever againwait not some girl beat up,0
37,damn like straight up damn,1
38,laugh self absorb person literali have no clue so mani of your fan say how love and authent use to be,0
39,im not a big fan of kemstar but shit,0
40,are gona be such an amaz mom,1
41,congrat gigi can make a video of babi enzo closet wish where my mom love,1
42,are reason for homofob not want gay to have children,0
43,what a truli ugli person,0
44,shes die for atent and view,0
45,nat literali tri to hold back her laugh,0
46,not get it,0
47,group babi stupidest thing ive ever heard,0
48,watch in  amaz video and reali nede and brave for a youtub,1
49,fuck of,0
50,laugh,1
51,downward spiral,0
52,how much did she pay to make video,0
53,moron,0
54,your choic sad,0
55,guy such an idiot video did not age wel at al lol,0
56,she know what shes do blaugh,0
57,propaganda,0
58,shut fuck up,0
59,no no no apogis not acept,0
60,ashol,0
61,worst youtub in world,0
62,loganapolog meus bleach to remov eye,0
63,yeah your apolog not do shit,0
64,by way his act was god laugh,0
65,not forgiv,0
66,love how there more dislik then like,1
67,suck,0
68,know what forgiv you just not do that again,1
69,not forgiv him hes disgust for think a joke btw he just did to not be cancel,0
70,he read a script,0
71,we forgiv you,1
72,totali a fake apolog he just care about sub and money he not care about his mistak,0
73,hey fuck,0
74,nob,0
75,go go be a sick campaign,1
76,batl in spacewow col,1
77,laugh they knew gameplay was shiti so they end it with some hapi cod stuf,0
78,be in militari ruin some of dialogu,0
79,like,1
80,not buy one,0
81,everybodi sick of futurist stuf but they stil end up buy it anyway,0
82,lok bad,0
83,like game,1
84,bad not god not god,0
85,know we not want futurist cod but if titl not cod and not know it was a cod game peopl would be like damn sick,1
86,im glad they ade anim like jaiden and theodonesout,1
87,are we gona ignor fact that alex and guava were like togeth,0
88,was wait for theodsout to come into it,1
89, was amaz,1
90,anthoni throwin shade at paul laugh,1
91,youtub a die websit,0
92,sinc when doe tri guy count as youtub,0
93,pewd not in it it deserv no hype at al,0
94,on trend in australia,1
95,best part was end,0
96,now los wil tri,1
97,oh wow have dremel,1
98,whi do lie to al these peopl,0
99,ok nice math but it not a circl,0
100,dick,0
101,col,1
102,one of worst movi ive watch it fre on internet but im not gona wast my time on shit laugh,0
103,and they thought women are beter than men laugh,0
104,racist bigot nazist rape islamofob hitlerpatriarchi,0
105,total scrap bulshit storycomplet time wast,0
106,smart intelig,1
107,yeah right whos gona watch dogshit,0
108,have beter thing to do with my time,0
109,ghost buster remak have not learn a thing pas just simpli becaus,0
110,yes quen,1
111,hope arin can get to b son wish guy god luck god,1
112,arianaint no tear left to cri me dure onlin clas im tear left to cri sad,0
113,best video of  and    so far and so on,1
114,cher write omg ariana,1
115,,1
116,so no one gona talk about that fli thingi at end my gue that dog flew laugh anyway song crazi god bro am obses love love,1
117,cmon yal let view video  time a day it shal be our routin til it hit a bilion view,1
118,arian goin to be first woman son to make her  song reach  bilion view smile,1
119,not like it love it,1
120,woman wonder,1
121,god,1
122,alway get gosebump when watch video and it almost make me cri it so god it make me fel emot,1
123,beauti song,1
124,let get to b view,1
125,not like ariana grandad,0
126,fine song,1
127,so bueti,1
128,poetri,1
129,preti col,1
130,how come just found song beauti,1
131,sure it edgi but that a bad thing think track has a wonder vibe solid stori and clear mean what more do want,1
132,how am just now find gem,1
133,his best song on reviv besid chloresept remix with chainz,1
134,gota love how song end practicali foreshadow second most popular song on kamikaz album,1
135,love marshal mather love,1
136,my two favourit artist,1
137,fuck love song it crazi it alreadi ben a year sinc releas,1
138,peopl who dislik got tear and forgot where like buton was sad sad,1
139,can relat would have to say anyon can stan laugh,1
140,king,1
141,everybodi or a few said song suck or it not that god like it,1
142,love song so much,1
143,gosebump,1
144,love fact it a sad song but then he taunt us at end so eminem,1
145,gator was so hapi,1
146,that last second was hilari laugh,1
147,some unknown power make me watch god shit,1
148,god boi,1
149,aw hes so cute and such a god boy,1
150,it lok hapi,1
151,that was so scari rght,0
152,mei love crocodil now,1
153,watch to fel emot onc a month,1
154,cri sad,1
155,how mani time have watch it,0
156,whi am here again,0
157,fun fact stil have a litl hope that theyl eventuali get back togeth,1
158,guy stop watch video,0
159, year later and it now at  milion view nice,1
160,laugh,1
161,his hair beauti,1
162,dave are so col and inspir me so much,1
163,song would have ben beter if said ruber duck i love it though also if understand know what im talk about henri danger ep,1
164,sube right now,1
165,jame best,1
166, tht expres laugh god,1
167,love music video and somg,1
168,one of most beauti of ,1
169,stil cring,0
170,most like rewind ever,1
171,video disrespect smash mouth thumb down,0
172,one so far my favorit one laugh,1
173, like that slap,1
174,has to be wors than  rewind in my opinion,0
175,ayo was a banger to bad there aint no pewdiepi or mrbeast laugh,1
176,yeah def like a milion time beter than  rewind,1
177,mrbeast rewind youtub rewind,0
178,last god one made by youtub,1
179,they are not vibin pathet,0
180,hand down  has to be best year,1
181,reali excit,1
182,cant wait to hopefuli work there someday,1
183,spacex beter,0
184,when can move to mar sign me up,1
185,thank you,1
186,put youtub rewind to shame,1
187,cant stop watch it over and over again impres epic,1
188,glad to se this thank,1
189,they not hate em they just envi him,1
190,where are my  peopl at,1
191,beauti,1
192,love song,1
193,constant hi tempo god,1
194,love dodg,1
195,eminem best raper ever,1
196,not know whi song not get such high rate for me deserv to be on top,1
197,with respect from ukrain truth word,1
198,whenev click ani song of eminem it then take me hour to click ani other video legend understand,1
199,love love this song kilin it eminem,1
200,thank man,1
201,from philipin with love,1
202,eminem awesom smile bad is al got to say to hater,1
203,love to eminem,1
204,omg give me chil im sori but can never say star war beter then marvel there no competit,1
205,movi was x beter than endgam becaus not know what to expect and how it gona end,1
206,wish can go back to when trailer was releas so can fel hype again,1
207, gue what it stil give us gosebump,1
208,who al here after watch master and kgf  laugh smile,1
209,best movi ever,1
210,movi wil becom a nostalg critic in futur,1
211,rememb how hype was,1
212,movi was beter than endgam,1
213,kgf on way break your record,0
214,kgf  come wait for it,1
215,no  trailer,1
216,timel masterpiec to be archiv,1
217,ind was pleasant surpris,1
218,dang that rap was actuali great,1
219,he like youtub moral compa that also unfilt,1
220,how fuck retard are peopl wtf,0
221,lokey that was fire,1
222,love that shirt say shep nice,1
223,not care about simp drama video stil gold,1
224,bro just came to check out for nostalgia sake and realis  year aniversari of content cop lok at that,1
225,now how teach teacher,1
226,best ever,1
227,thank for vid now can take my ap test,1
228,whi do we have schol,1
229,whi are we stil here just to sufer,0
230,come back here onc a month to watch,1
231, peopl were in right,1
232,was last god one to be honest,1
233,mis  sad,1
234,by far best youtub rewind,1
235,not bad,1
236,best rewind for me,1
237,dan howel in a vest best thing ive ever sen,1
238,agin where kpop,0
239,mise,1
240,when rewind were god,1
241,at least one god,1
242,mr beast rewind stil beter than one,0
243,best rewind,1
244,just sad,0
245,like video,1
246,that beter than rewind ,1
247,best rewind ever,1
248,gold,1
249,ah god old day,1
250,was first rewind ever saw man mis  sad,1
251,best youtub rewind ever,1
252,se how do thing right,1
253,freak hilari love it god,1
254,love hari poter shirt,1
255,she made  dolar from video damn girl wish could do that,1
256,who els watch liza in  dure quarantin becaus mis old video,1
257,shes so preti smile smile,1
258,report becaus said a bad word laugh,0
259,not believ he was onli seventen,1
260,alcohol cant freze dumba,0
261,selena so preti smile,1
262,best video,1
263,she so down to earth,1
264,she cant sing,0
265,like her finger,1
266,jame an amaz singer just to god,1
267,shes so real tho shes not extra or anyth and can se it on her cloth xd what would wear on a tuesday,1
268,your show be set,1
269,she such a vibe,1
270,best video ever,1
271,laugh like song,1
272,gez laugh whole video love selena wish cud met u,1
273,she sem so awesom love it d,1
274,audienc sound so fake,0
275,selena so preti by way am a girl,1
276,omg start clape unconsci,1
277,jame reali cute tho love,1
278,shes so beauti and amaz love selena gomez your best,1
279,my favourit introwhat up bros my name pewdiepi,1
280,like this congratul,1
281,col video,1
282,man legit,1
283,and col,1
284,got my paper play buton yay ar at ,1
285,fuck,0
286,subscrib me ,1
287,god,1
288,but at least a thank you sad im hapi for but might mark yourself to respond or put heart to coment love,0
289,give me chil everi time,1
290,here in  stil as beauti as first time watch it,1
291,cant wait,1
292,was best youtub ad ever,1
293,best trailer in unirvers,1
294,there wil never be anoth game like and it honest saden me,1
295,who also come back to get gosebump from this,1
296, oh reali like scene,1
297, year later and stil lok awesom,1
298,best trailer ever made even after almost  year,1
299,was releas on my birthday best birthday present ever,1
300,kep come back just love it so much,1
301,am almost certain that song make everi trailer beter,1
302,if onli game was made for next gen consol man it would have ben best loke game ever,1
303,god stil amaz,1
304,everyth about game so god in my opinion stil play after  year,1
305,what a masterpiec,1
306,best reveal trailer ever saw,1
307,legendari song for legendari game,1
308,pres f for batlefield,0
309,crazi how  year old game lok beter than most game of nowaday,1
310,batlefield  last god batlefield game befor franchis die as a long time bf fan break my heart how did it end like this,1
311,im not sure il ever be as excit for a game as this trailer blew my mind when it came out and stil doe today,1
312,what a master piec,1
313,best music,1
314,best trailer in game histori thank ea dice we ned a new batlefield to destroy those fps game out there,1
315,one of best game ive ever play in generat,1
316,best of best,1
317,best game ever,1
318,best modren game trailer ever,1
319,was one of og like rolex,1
320,trailer gave me chil ea can do right,1
321,who came here for relief,1
322,no substitut of song,1
323,let se how mani legend are watch in februari ,1
324,like,1
325,smile god,1
326,like,1
327,earphon plus ful volum legend smile,1
328,god surpris,1
329,want when enter my clasrom,1
330,,1
331,veri top bro,1
332,bra idol like song bra,1
333,laugh  god music,1
334,subscrib to your chanl,1
335,are my favorit youtub eva,1
336,are so funi,1
337,wow she so famus,1
338, anyon like for,1
339,yay it at  milion like,1
340, love  mil,1
341,col,1
342,he lok like goni hey guy,0
343,,0
344,ridicul,0
345,fake asf fake reaction,0
346,york parent a racist so yo get what deserv,0
347,it was iron bad,0
348,what peopl fel sori for world trash,0
349,his mom racist as fok she cant even lie,0
350,orang man bad nice job fake news network d,0
351,clinton news network back at it again with fake news,0
352,laugh a stretch cn,0
353,just do quick research on web and youl se how fake cn,0
354,wish donald trump was fake,0
355,sigh it like their tri to prove that theyr fake,0
356,cn kil yourselv,0
357,republican are worthl cocksuck ruin america,0
358,imagin have to pay for steam,0
359,whoever like this fuck you,0
360,wow gredi polit win again,0
361,fucker,0
362,godby internet,0
363, unelect peopl chose futur of internet that  of peopl not want,0
364,wow trump fuck up america again jesus christ,0
365,what america is lete a few peopl vote for someth instead of lete america democraticali vote for it,0
366,fuck shit fuck,0
367,fuck you,0
368,fuck ajit pat fuck brendan car and fuck michel ori not how a democraci work,0
369,man some bs,0
370,my ear hurt,0
371,omg sound as if someon just put a distort efect on her,0
372,laugh horibl,0
373,they ruin star spangl baner,0
374,wtf was direct from whitney anthem horifi,0
375,what kind of shit this mariah pleas teach fergi how to sing,0
376,swear just saw selena gomez coment she cant sing,0
377,fergi let play some basketb me let play some auto tune,0
378,just as cringey as i play pokémon go everyday song,0
379,it was so funi had to like it laugh,1
380,threw up,0
381,omg bet draymon sing beter than her,0
382,what actual fuck did just watch,0
383,that so bad it hurt,0
384,she hwing disrespect to flag,0
385,everi time time listen think what fuck mosli becaus she think it god,0
386,ned to clean my ear now laugh,0
387,bitch on meth,0
388,certain losen crowd up with laughter,0
389,she cant sing,0
390,ariana grand at  year old sound beter,0
391,gald your out of ofic,0
392,what a tol,0
393,whi am revisit sht,0
394,not like fc becaus of video,0
395,who hel like,0
396,love ajit pai,1
397,so ridicul and cringey,0
398,fucker tring to hard to be funi,0
399,stop pretend to be human ajit,0
400,like are corupt politician,0
401,a shit pie worst pile of shit and he has a face no one can love,0
402,that martina bitch was one of main peopl who help push pizag conspiraci,0
403,whi fuck did peopl like video have they no saniti,0
404,thank base pai,1
405,prof that alien have invad earth also fuck you we ned god internet it shit,0
406,if video were age restrict there not be ani like,0
407,im sori but got anual fcked,0
408,k dislik make it milion alreadi,0
409, fuck execut just admit that your a bitch,0
410,guy such a fuck joke like how he claim his video are,0
411,say idubz dis track was bad when your sound like a gose gete ran over by a semi truck,0
412,pusi,0
413,your am ashol,0
414,delet yourself,0
415,when not have anyth to say so say your head big,0
416,al know how to do flex with money and talk a big game cant play that game though,0
417,asian jake paul by idubz tv god this bad,0
418,whi has god abandon us,0
419,eat shit,0
420,god job with dislik,0
421,just stop pleas a nerdi white boy beat by milion,0
422,was garbag,0
423,omg just stop your not talent,0
424,ethan a fuck snake,0
425,so stupid,0
426,make me disapoint,0
427,not expect from,0
428,rip my niga hh chanel go to shit,0
429,your such a fuck tol lmfao,0
430,he a idiot,0
431,it fel like hes talk for  minut and not make ani fkng senc,0
432, omg that such bulshit,0
433, al of my brain cel are dead now,0
434,my iq drope,0
435,roki po bad,0
436,are cring,0
437,your a loser,0
438,asian boi lie,0
439,love like to dislik ratio,0
440,would tel ricegum to donat to chariti if he could understand word over  leter,0
441,deserv anoth one,0
442,pathet,0
443,not expr how much stil want to vomit to video,0
444,your a brain dead moron,0
445,he say hes not flex but hes wear a guci shirt,0
446,most dislik,0
447,whi everyon hate on movi it not to bad,1
448,creat a new acount just so can pres dislik buton one more timeand it felt god,0
449,im go to get a lot of hate for but personali like movi,1
450,pathet wast of shit,0
451,whi their so mani dislik my fav movi,1
452,absolut shit show,0
453,watch gave me corona,0
454,shit suck,0
455,whi do peopl hate,1
456,was releas it at that point even a plausibl idea,0
457,peopl who think movi shit,0
458,came to se if my dislik was stil here,0
459,who came here after sadak  to se dislik of trailer laugh smile,0
460,so when cros stream creat an altern realiti that suck,0
461,to be honest like beter than origin hate origin,1
462,not understand how has so mani dislik,1
463,not know whi it funi laugh,1
464,so bad,0
465,wow  milion dislik internet did someth god,0
466,trixi and katya save video,1
467, best part of video,1
468,your tele me fortnit instead minecraft those dislik are deserv,0
469,it god wdym guy mean it bad,0
470, what heck,0
471,in my opinion onli god thing about kpop laugh,0
472,metal gear die,0
473,a nightmar,0
474,metal gear rise metal gear surviv,0
475,refund,0
476,honesli like it,1
477,have fele il not like game il safe my money complet ruin metal gear solid saga,0
478,like it,1
479,konami kile metal gear,0
480,it lok like metal gear franchis wil becom wors like sonic hedgehog fuckonami sliperi litl bastard,0
481,no just no,0
482,no just no,0
483,lok so damn col guy with shotgun like bom chk chk smile,1
484,love metal gear as a stealth shote game konami gona ruin beauti of stealth gameplay,0
485,omfg a new metal geari want it now now,1
486,veri nice,1
487,ned more dislik,0
488,metal gear surviv more like metal gear dead,0
489,oh fuck,0
490,dislik squad where at,0
491,prank invas trash,0
492,kiler gnomestar let get right into cansur,0
493,whi am stil gete hate,0
494,your trash,0
495,search vid just to dislik it,0
496,not understand whi dickhead stil on youtub,0
497,whi do do youtub piec of fuck shit everi one hate dumba,0
498,pleas take guy to hospit he older than my grandfath and just play hide and sek with children,0
499,thank for a  second intro that anoy and basic af thank for wast  second of my life in everi video onli drama alert can provid,0
500,watch fol like contract a diseas,0
501,fuck chanel sad,0
502,let shot to k dislik,0
503,kemstar a fuck hypocrit kemstar get news wrong al time yet he fuck acus scarc of gete a news stori wrong no wonder peopl not like guy,0
504,wil enabl adblock but onli to your chanel,0
505,hate kemstar,0
506,wors than in infinit warfar laugh laugh god,0
507,it fuck fake dumb fuck listen to scarc,0
508,omg your so big right now kemstar ben here sinc mil,1
509,holi shit dislik on sad excus of a video,0
510,holi fuck come back to are how mani more dislik bid had and it tripl sinc last dislik last time ratio to likesdislik was kk,0
511,rose are red violet are blue guy said leafi was subot none of it was true,0
512,never have anyth to back up what say reali not know whi your gete hate,0
513,whi al hate what doe guy wrong most dislik come from kid that are fuckin  or  who never watch a video of him but just tryin to lok col,1
514,laugh your fuck stupid,0
515,some bulshit,0
516,bulshit leafi not do that,0
517,there not enough dislik,0
518,fck you,0
519,hate kemstar,0
520,if your a ken star fan know im onli gona tel truth yeah sure ken star your definet totali truth,0
521,your a gnome,0
522,fuck kemstar,0
523,not have to be a leafi fan to know your a liar laugh,0
524,laugh dislik god to know other peopl think kemstar a usel twat who deserv to be homel,0
525,never tel truth,0
526,kemstar gay,0
527,more peopl ned to unsub pleas,0
528,stfu are a fuck liar,0
529,to be honest bulshit and stil love my leafi,0
530,what your excus now shitstar,0
531,so fake,0
532,so whi your youtub chanel not taken down,0
533,ya know your a stupid piec of shit,0
534,fcking racist,0
535,cring so high,0
536,omg fuck god guy so fuck cring worthi,0
537,fuckin racist,0
538,ksi has beter content than,0
539,fuck hate guy ksi beter than,0
540,from one black man to anoth wtf and onc again have more dislik than like racist niga,0
541,ali laugh wtf trash,0
542,dis dude ned to stop he not entertain it bad,0
543,he should be bane from youtub,0
544,rucka rucka my niga,1
545,gay,0
546,funi how your fanbas just ten year old take advantag of social media,0
547,were go to get bane on tube,0
548,that not entertatm that just strat up rasist,0
549,how about just ignor kem,0
550,cmon guy let al unsubscrib,0
551,chanel curs,0
552,chang your damn about tab your now,0
553,if kem here fuck him and his fan as would say fuck fan,0
554,what doe be second fel like hear it shit,0
555,sit back relax grab popcorn and watch drama alert sub count go down,0
556,aw where ugli thing aka kim,0
557,wow within  second alreadi like his new guy hes not say let get roit into news love new guy,1
558,what a sad joke kemo,0
559,laugh youtub guy are your destruct,0
560,whi doe he alway move his bodi at start it cringi as,0
561,everyon unsubscrib from kep,0
562,now your number two laugh,0
563,wil alway just be how doe that fel,0
564,chang your bio to sourc of news on internet,0
565,just drope by to say fuck,0
566,neck yourself kem fuck fuckwit do even have a life,0
567,laugh bitch your no now sack of shit,0
568,racist litl bitch,0
569,leafi kile you,0
570,fuck hater kem a god,1
571,guy make a live of of news report about youtub drama piec of shit,0
572,fuck pig,0
573,what a dush bag,0
574,how did ever get famous,0
575,fuck you,0
576,no one like,0
577,that so rude think should end your chanel,0
578,wow my coment got delet yay,0
579,here lie kemstar carer,0
580,,0
581,made a  year old man cri for fake pedophil aleg,0
582,preti sad to think that  milion peopl actuali subscrib to cancer of youtub,0
583,what it like be such hypocrit  year old prick,0
584,fuck dude,0
585,sube so can fel joy of unsub,0
586,whi doe chanel stil exist,0
587,what hapen to dramalert be unbias also kuck femstar,0
588,,0
589,cant wait to report your chanel death ha ha,0
590,youtub whi are lete cyberbuli make video that has no god content it wors then a  year old let play on minecraft,0
591,whi that guitar onli got  string tho,0
592,song save my life was in coma and my mom play this woke up just to turn it of,1
593,fel bad for al girl that simp for man back in day,0
594,cant believ there are actuali pl that listen to this laugh,0
595,reali god stuf,1
596,whi doe everyon hate him,1
597,hold up he has  milion dislik on song but whi it so god peopl stop hate on him it so catchi,1
598,wana strangl him,0
599,clasic,1
600,prefer over dixi damelio one whole dayand song was writen by a child,1
601,it lyricali beter than anyth by dixi,1
602,was adict to song befor when was like  or  but ye like one,1
603,whi he be lokin like dobi from hari poter and guy from hobit though,0
604,yal tripe aint that bad,1
605,can someon explain how get a halfway decent roten tomato rate,0
606,stupid feminist crap,0
607,shes so fat,0
608,trailer and movi are so god whi did it get more dislik than it did like,1
609,ghostbust  deserv to flop and rick morani was smart enough to say no to film,0
610,it bad love movi,1
611,it was a decent movi,1
612,movi suck melisa a fat cow,0
613,what next a lame remak of anim hous stare rosi odonel and rosan,0
614,love movi,1
615,how supris movi was teribl,0
616,fak,0
617,shit film,0
618,have sen movi love it,1
619,watch it for min at edward in oc got a refund pos film,0
620,garbag,0
621,whi did peopl hate love play game,1
622,game beter than peopl give it credit for,1
623,game stil trash not care,0
624,bad angri,0
625,bad sad,0
626,like that it get more dislik than like,0
627,honest game not deserv hate it got,1
628,advanc and infinit warfar were trash imo,0
629,like futurist cal of duti gue that just me,1
630,it fact that can fli that reali put me of,0
631,honest it stil beter than mw,1
632,whi so mani dislik love game,1
633,personali like cod,1
634,futurist cod done right,1
635,there was noth wrong with game what with dislik,1
636,women arent funi,0
637, year later game not bad at al if game came out today im sure it not have reciev hate it reciev,1
638,clown,0
639,this video a joke,0
640,not wori we not roast your parent alreadi did that,0
641,im a male and im al for equal right but if are for equal right quit tri to make men fel bad and make women superior gender these ladi are just sad excus for feminist,0
642,know for a fact al of these women have never talk to a guy in their life,0
643,that probabl stupidest nonsens ive sen on yt so far and platform ful of stupid nonsens,0
644,im probabl funier than you that a preti funi joke,1
645,these women are anoy and video suck,0
646,video so sexist they are compar one guy to everi guy in world,0
647,how doe it fel to be so hate,0
648,onli stupid part of video whole video part,0
649,welcom to asumpt town,0
650,just go to general half popul there,0
651,ive never ben more shock in my entir than rn to find video not have coment turn of,0
652,report piec of video for hatespech,0
653,everyon kep unsub guy an as,0
654, dumbest,0
655,so chang world give money,0
656,im so mad that most popular video on there chanel,0
657,to bad back down to m laugh,0
658,love song everyon say reviv suck but yet it went platinum so it not of suck as bad as everyon say,1
659,video sem so stage wast  minut of my life,0
660,coment file with pathet kem fan cale leafi fan pathet that pathet jus jeli fuck your jealous becaus he actuali make god content,0
661,normi control rewind,0
662,think they ruin kpop for me,0
663,my fav artist ,1
664,quiet litl rice boy onli came hear to se like dis like ratio,0
665,whi doe even has like whi whi,0
666,fuck,0
667,ive had bad internet for most of my life so not afect me that much but if have to pay just to get on steam or originthen il have a problem,0
668,how can anyon listen to pos racist prick,0
669,a master piec,1
670,hey that preti god,1
671,nice song,1
672,dislik,0
673,just chime in to say ajit stil a fuck piec of garbag,0
674,amaz,1
675,what a garbag movi,0
676,what fuck that stupid intro tho,0
677,it stil goe to congr right,0
678,forgot about movi,0
679,rise are colest person in world so chil,1
680,stil hurt,0
681,shes mentali sound laugh yike,0
682,fuck suck,0
683,kid so racist omg what how whi omg,0
684,she lie,0
685,god,1
686,so jame gay,0
687,poli song,1
688,thank for mucic awesom not leasn to peopl like that have wach for six year,1
689,mgs to lot msg,1
690,cring,0
691,yar im captain now,1
692,can count on one hand number of rap song own own song,1
693,piec of shit,0
694,guy an idiot becaus he report for dramalert despit fact that he inform on everyth that go on hes just in it for money,0
695,,0
696,let se how much peopl watch after gete corona vacin,0
697,bitch should be on a cring compil,0
698,bashur for life,1
699,dear deipei pleas suport guy,1
700,love se your sub count on old video becaus that highest it wil ever reach,1
701,god old day,1
702,brush he be lie to god that aw,0
703,your best,1
704,sharp voic when idubz say you fuck moron terifi and satisfi at same time,0
705,colab never knew nede laugh god,1
706,now qualiti content even tho not that histor acur,1
707,that was fuck trash my g,0
708,know youv made best trailer ever when  year later it make just as excit to get back into game than on day one,1
709,pleas invit blackpink,1
710,love how shes one of those celeb that not get plastic surgeri even though she make joke about her bob or lack of x,1
711,trump voter have fail america histori wil not be kind to you,0
712,it not surviv,0
713,horibl rendit it so awkward to listen sori fergi was embaras could have done much beter than sing way bad,0
714,shes a reali amaz human be ,1
715,apreci how understand so much more of video after a few year,1
716,supli box laugh,1
717, lone m mr lone got nobodi,0
718,guy we could make a religion out of this,1
719,it go to be a fun year ahead with iw and modern warfar remast,1
720,how confus,0
721,no shane,0
722,hope lose your chanel and go homel fuck bitch,0
723,as a show of respect to kojima nobodi should buy game,0
724, just to start video,0
725,where my  dolar when kid at my schol cale me fat and ugli,0
726,onli way cn get view alow themselv to be mock,0
727,anyon els got age restrict,0
728,damn love song,1
729,literali everi coment a gay idubz fan,0
730,never come back kem,0
731,disgust youv betray franchis,0
732,best cod in year,1
733,cant wait until top news report that hes quit youtub,0
734,we ned to get video trend in dislik,0
735,onli clickbait thing about ricegum chalang prize and his life,0
736,cant rhyme with with with,0
737,no ryan higa or jena marbl,0
738,shut up racist just becaus your face lok like a gay fish,0
739,damn trey,0
740,wish had subscrib to have satisfact of unsubscrib,0
741,yal easili sit around and talk about bob for hour promis a convers about bob wil last  second top,0
742,rackaracka make much beter video than you just to be honest,0
743,mean love love liza am take note,1
744,what clown schol did guy go to,0
745,dudeif what heard trueyou fuck suck quit youtub now,0
746,so glad ashol gone now,0
747,lock her up,0
748,sub bote freak fake,0
749,sadest breakup ever,1
750,funi and entertain d where ocean  alreadi,1
751,im here after maya rudolph nation anthem smile,1
752,absolut love it,1
753,god like if listen to everi day voic beauti  love love,1
754,if ever fel stupid rememb there are peopl dislik song,0
755,love rucka so damn much,1
756,fire emblem awaken and a half smile,1
757,no rap just want unknown fact,0
758,stil give gosebump,1
759,whi dislik,1
760,your so racist,0
761,trailer hype,1
762,so cancer star what point of cale out scarc and leafi your just tri to get popular again but hey whi do not respond to alex a stupid n video huh,0
763,they dise in em for reviv and now we got  crazi album yal reali shouldv just left him alon laugh,0
764,let go m like,1
765,leafi suck,0
766,video so beauti,1
767,not have to screm everi time bro,0
768, my favourit part im literali wheze laugh,1
769,lok like a parodi video but nope our govern,1
770,finali phil in,1
771,love,1
772,thank god these two repuls idiot not have ani children ive never sen such obvious narcisist in my life glad to se gigi chanel die she has grown into an aw person and shes so unlik her be tran onli thing she has go for her,0
773,who watch in  laugh,1
774,cring,0
775,bf stil aliv in ,1
776,out real life falout right here,1
777,laugh,1
778,fele legendari song smile,1
779,im so glad real truth came out about him his,1
780,wow bare realiz she was by my hous she was in sfv,1
781,pewdiepi told us was clickbait,0
782,most trust news in nation yeah,0
783,mgs phantom pain has also microtransact with virtual coin to buy next base but nobodi hate,0
784,teacher are leson histori of w girl no it so bore ew me and boi,1
785,laughh stupid as wtf was with thr knife fing idiot,0
786,whi video stil here just to sufer everynight dislik ratio becom biger and biger guy we lost seri we love not stop hurt it like they want to kil seri fel it to not you im gona make em give back our past,1
787,not tel other to have same opinion as you are say that we ned to vote for her that not democraci fuck you,0
788,isnot godsori,0
789,wel  go to be a great elect year,0
